icd_9,icd_10
V109,Z859
E9503,X80
E8744,T509X5
7299,M799
7523,Q553
7070,L890
1737,C447
E9391,T433X
7902,R739
E9330,T450X
5968,N328
E8540,T4329
E9433,T466
E8748,W498
V451,Z992
E8585,T504X
9964,T856
E9441,T502X
5233,K053
E9809,T5090
9995,T814
8501,S060X1A
E9398,T4395
E9328,T382X
4582,I952
V640,Z538
7876,R110
1730,C440
7895,R198
9697,T432X1A
E9466,T3796
6168,N766
70720,L891
6188,N818
1738,C448
V610,Z630
E9387,T411X
9993,T812
V581,Z794
E8556,T443X
E9411,T443X
7806,R509
7775,P590
V608,Z919
1735,C445
E8543,T43
E9318,T509X5
1733,C443
E9370,T423X
4440,I251
E989,Y09
4538,I828
E9294,V8181
70722,L892
2520,E200
6082,N508
2750,E839
E9301,T367X
6180,N810
E9501,X83
7583,Q913
E9378,P0417
E8548,T4391
E9342,T378
E9356,T394X
3234,G048
E912,W19
E9502,T1491
E8704,Y634
5191,J988
9952,T782
E9397,T4369
E9241,W229
E9420,T460X5
E9801,Y219
0414,A491
4251,I428
E8619,T50Z
E9363,P0413
E8500,T400
70724,L892
E9438,T509X5
E9408,T4369
E8584,T4796
E9470,T50995A
E8587,T49
7931,R918
2765,E860
E9386,T413X
E9401,T507X
1734,C444
E9422,T465X
E9478,T508X
E8708,T8189
7798,P968
E9331,T451X
E8705,T814
9980,T811
V0262,Z283
E9504,T50901A
5997,N390
E8654,T543
E9803,T509X5
E8694,T439
7845,R479
E8742,W441
E9361,T420X5
E9307,T451X5
2778,E889
5163,J8410
2865,D6859
E8550,T509X1A
E9800,T509X5
6118,N6489
E9500,T398X
E9138,T7151XA
7992,R99
E9346,T509X5
E9347,T809X5
36570,H400X
9996,T887
E9319,T509X5
E9821,T509X5
V181,F919
E9329,T509X5
E9805,T509X5
E851,T403X
3370,G249
E9392,T435X5
9690,T406X
1739,C449
5280,K120
E9453,T435X
E9413,T443X
7718,P388
E9447,T504X
2824,D574
E9380,T428X
E8551,T460X1
1731,C441
E9358,T398X
70725,L8915
E8582,T430X1
70721,L8911
E9445,T503X
5640,K590
E8624,T509X5
7662,P0739
E9315,T373X5
5888,N189
4781,J393
E8589,T438X1
E9389,T509X5
E8588,T439X1
E9335,T509X5
E9394,T465X5A
E9308,Z1629
9983,T814
71970,M255
E9344,T45515A
E9306,T371X5A
7793,P9689
E8609,T519
E9345,T45515A
2333,D059
E8503,T402
E8613,T506
E8710,T815
E8532,T444
E9309,T458
E9509,J698
2840,D611
70723,L893
E9530,X71
585,N189
2880,D70
E8554,T406
E9359,T39395A
7721,P520
V138,Z8659
E9451,T465X5A
2766,E872
3483,G934
9974,T814
2794,D819
3578,G619
E9325,T466X5A
E8637,T509
E9804,T50905A
E9506,T494X
6951,L409
E8502,T401
E9425,T463X
E9463,T493X
E8600,T510X1A
2874,D696
5118,J948
E857,T424X1A
E9620,X920
9708,T458X1A
E9393,T4359
5996,N393
2740,M100
E8700,T830X1A
5302,K222
V583,Z5189
7687,P293
V155,Z8669
V135,Z0389
E9399,T43505A
E9360,T436X5A
9994,T809
E9455,T43505A
2898,D729
36573,H40053
V122,Z8611
5128,J942
7708,P288
E9421,T460X5A
1732,C442
E9412,T444X5A
3592,G733
V644,Z717
7701,P071
E8583,T509X1A
5672,K659
E9053,T634X1A
4881,J09X1
E9385,T413X5A
V017,Z23
V152,Z9289
E9424,T463X
9973,T8149XA
3337,G253
E8714,W27XXA
E9505,X71
E9426,T464X5A
E9499,T50Z9
E8740,W27XXA
E9314,T360X5A
7809,R5381
E9443,T43505A
3236,G0490
E9479,T50905A
7671,P154
E9460,T43505A
E9320,T380X5A
E8668,T505X1A
E9305,T450X5A
E8501,T401X1A
E8603,T508X1A
E8709,W29XXA
E9334,T453X5A
E8655,T519
E9340,T454X
2773,E883
2848,D619
E9419,T4495XA
E9395,T465X5A
E888,R260
E8663,T508X
E8611,T470X
E8508,T428X
E8552,T443X
E9303,T363X
E8706,T81530A
E8555,T445X
E9364,T454X5A
E9383,T509X5
E8586,T503X
E9452,T481X
5678,K652
5185,J961
E8641,T518X
E9322,T465X5A
E8698,T509X
E927,W19XXX
E9457,T486X
E9323,T383X5A
E9390,T360X5A
7872,R1110
E9496,T50995A
E963,K0852
E8703,T814
E9313,T420X
E9300,T360X5A
E9379,T4275XA
V403,Z911
2387,D487
2873,D693
E9507,T542X
E9429,T468X5A
7796,P969
E8528,T50991A
V461,Z998
E9352,T402X5A
7758,P929
E8581,T658X1
E8538,T402X5A
E8580,T388X1A
E9382,T410X5A
1736,C446
E9353,T3909
76529,P0739
E9538,X718
6002,N402
V854,Z684
E8717,T816
9998,T8089XA
3580,G610
3238,G048
E8541,T423X1A
E9354,T393X5A
E915,W27XXXA
